name,category,image,image_url,description
Classic Sneakers,shoes,classic_sneakers.jpg,https://m.media-amazon.com/images/I/71g6HFh3g1L._UY1000_.jpg,Classic black formal shoes for office and events
Leather Tote,Bags,leather_tote.jpg,"https://m.media-amazon.com/images/I/315ixHKrlSL._SR290,290_.jpg",Stylish tote bag perfect for work or travel.
Denim Jacket,Clothing,denim_jacket.jpg,https://assets.ajio.com/medias/sys_master/root/20230508/mH8d/6458d18742f9e729d76d0a78/-473Wx593H-443005338-skyblue-MODEL.jpg,Trendy denim jacket for casual outings.
Smartwatch,Electronics,smartwatch.jpg,"https://m.media-amazon.com/images/I/61pIzNaNRWL._UF1000,1000_QL80_.jpg",Feature-packed smartwatch with fitness tracking.
Sunglasses,Accessories,sunglasses.jpg,https://m.media-amazon.com/images/I/41Dr9I4x1EL._UY1100_.jpg,Stylish sunglasses with UV protection.
Wireless Earbuds,Electronics,wireless_earbuds.jpg,https://m.media-amazon.com/images/I/51pycg0MGxL.jpg,Compact earbuds with noise cancellation.
Black Hoodie,Clothing,black_hoodie.jpg,https://m.media-amazon.com/images/I/71ZgOymQBkL._UY1100_.jpg,Soft hoodie ideal for chilly evenings.
Canvas Backpack,Bags,canvas_backpack.jpg,https://m.media-amazon.com/images/I/81zQbHL0N6L._UY350_.jpg,Durable backpack with multiple compartments.
Bluetooth Speaker,Electronics,bluetooth_speaker.jpg,"https://m.media-amazon.com/images/I/31rWGR0NuhL._SR290,290_.jpg",Portable speaker with deep bass and long battery life.
Ceramic Mug Set,Home,mug_set.jpg,"https://m.media-amazon.com/images/I/71ux6lsERxL._UF894,1000_QL80_.jpg",Elegant mugs for coffee or tea lovers.
Yoga Mat,Fitness,yoga_mat.jpg,"https://m.media-amazon.com/images/I/81fBVCWpbKL._UF350,350_QL80_.jpg",Non-slip mat for yoga and stretching routines.
Running Shoes,Shoes,running_shoe.jpg,"https://m.media-amazon.com/images/I/41PBoYhzSqL._SR290,290_.jpg",Lightweight shoes designed for runners.
Leather Wallet,Accessories,wallet.jpg,https://m.media-amazon.com/images/I/81WIcyHQ7oL._UY1100_.jpg,Slim wallet with RFID protection.
Silk Scarf,Clothing,silk_scarf.jpg,https://m.media-amazon.com/images/I/71Yz6GKhDFL._UY1100_.jpg,Luxurious scarf for formal or casual wear.
Stainless Water Bottle,Fitness,bottle.jpg,"https://m.media-amazon.com/images/I/61doFydWNQL._UF894,1000_QL80_.jpg",Insulated bottle that keeps drinks cold or hot.
Foldable Laptop Stand,Electronics,laptop_stand.jpg,https://m.media-amazon.com/images/I/61zXuhUdjwL.jpg,Adjustable stand for ergonomic laptop use.
LED Desk Lamp,Home,desk_lamp.jpg,"https://m.media-amazon.com/images/I/51DcV4YJw2L._UF1000,1000_QL80_.jpg",Minimalist lamp with adjustable brightness.
Cotton T-Shirt,Clothing,t-shirt.jpg,https://m.media-amazon.com/images/I/81qpsL7-EKL._UY1100_.jpg,Breathable t-shirt for everyday comfort.
Travel Duffel Bag,Bags,duffel_bags.jpg,https://m.media-amazon.com/images/I/71kVEledeOL._UY1100_.jpg,Spacious duffel for weekend getaways.
Noise-Canceling Headphones,Electronics,noise_canceling_headphones.jpg,"https://m.media-amazon.com/images/I/51f7KKP25PL._UF1000,1000_QL80_.jpg",Over-ear headphones with immersive sound.
Faux Leather Belt,Accessories,leather_belt.jpg,https://m.media-amazon.com/images/I/61z3hPGRWlL._UY1100_.jpg,Classic belt for formal and casual outfits.
Linen Shirt,Clothing,linen_shirt.jpg,https://m.media-amazon.com/images/I/81wVugz8tkL._UY350_.jpg,Lightweight shirt perfect for summer.
Wireless Mouse,Electronics,wireless_mouse.jpg,https://m.media-amazon.com/images/I/51KmxQjXBlL.jpg,Ergonomic mouse with smooth tracking.
Wooden Serving Tray,Home,tray.jpg,"https://m.media-amazon.com/images/I/81XoBVPAmfL._UF894,1000_QL80_.jpg",Rustic tray for serving drinks or snacks.
Fitness Tracker Band,Fitness,track_band.jpg,"https://m.media-amazon.com/images/I/61U6bpEkLCL._UF894,1000_QL80_.jpg",Tracks steps heart rate and sleep.
Slip-On Loafers,Shoes,loafers.jpg,https://m.media-amazon.com/images/I/61VDmWbBZKL.jpg,Comfortable loafers for office or casual wear.
Crossbody Sling Bag,Bags,sling_bag.jpg,https://m.media-amazon.com/images/I/71eNQg2gBpL._UY1000_.jpg,Compact sling bag for essentials.
Cotton Pajama Set,Clothing,pajama.jpg,"https://m.media-amazon.com/images/I/31kmv-qzRlL._SR290,290_.jpg",Cozy pajamas for restful sleep.
Laptop Sleeve,Electronics,laptop_sleeve.jpg,https://m.media-amazon.com/images/I/71XMgGNozZL.jpg,Padded sleeve for laptop protection.
Ceramic Vase,Home,vase.jpg,"https://m.media-amazon.com/images/I/71BUKwc3Y8L._UF350,350_QL80_.jpg",Decorative vase for flowers or shelf styling.
Resistance Bands,Fitness,resistance_bands.jpg,https://m.media-amazon.com/images/I/71Jr6YLoc7L.jpg,Set of bands for strength training.
Leather Boots,Shoes,boot.jpg,https://m.media-amazon.com/images/I/81nvnt+HWlL._UY1000_.jpg,Durable boots for outdoor adventures.
Quilted Handbag,Bags,handbag.jpg,"https://m.media-amazon.com/images/I/81LbdkhDknL._UF1000,1000_QL80_.jpg",Elegant handbag with quilted texture.
Wool Beanie,Accessories,beanie.jpg,https://m.media-amazon.com/images/I/61L+Ssvy6fL._UY1100_.jpg,Warm beanie for winter days.
Graphic Tee,Clothing,tee.jpg,https://m.media-amazon.com/images/I/813JGgJdlyL._UY1100_.jpg,T-shirt with bold graphic print.
USB-C Charger,Electronics,charger.jpg,"https://m.media-amazon.com/images/I/71cPa3L9RoL._UF1000,1000_QL80_.jpg",Fast charger compatible with modern devices.
Wall Clock,Home,clock.jpg,"https://m.media-amazon.com/images/I/71GRpNCLuHL._UF894,1000_QL80_.jpg",Sleek clock for home or office decor.
Dumbbell Set,Fitness,dumbbell.jpg,"https://m.media-amazon.com/images/I/61A5o+qEcGL._UF894,1000_QL80_.jpg",Compact dumbbells for home workouts.
Platform Sandals,Shoes,sandals.jpg,https://m.media-amazon.com/images/I/61LORrpjFlL._SL1000_.jpg,Trendy sandals with elevated sole.
Mini Backpack,Bags,mini_backpack.jpg,https://m.media-amazon.com/images/I/71ZrcCLzvPL._UY1000_.jpg,Small backpack for light travel.
Denim Shorts,Clothing,denim_shorts.jpg,https://m.media-amazon.com/images/I/91vkIXRKG+L._UY1100_.jpg,Casual shorts for warm weather.
Phone Tripod Stand,Electronics,tripod.jpg,"https://m.media-amazon.com/images/I/619wqJs2bCL._UF1000,1000_QL80_.jpg",Adjustable tripod for stable phone shots.
Throw Pillow Set,Home,pillow_set.jpg,"https://m.media-amazon.com/images/I/91tNEYdF9nL._UF894,1000_QL80_.jpg",Soft pillows for couch or bed styling.
Gym Gloves,Fitness,gym_gloves.jpg,"https://m.media-amazon.com/images/I/41POmwhRP8L._SR290,290_.jpg",Padded gloves for weightlifting.
Hiking Boots,Shoes,hiking_boots.jpg,https://m.media-amazon.com/images/I/8174WUoiwkL._UY1000_.jpg,Rugged boots for trail adventures.
Messenger Bag,Bags,messenger_bags.jpg,https://m.media-amazon.com/images/I/71E8zMa0E5L._UY1000_.jpg,Professional bag for laptop and documents.
Rain Jacket,Clothing,rain_jacket.jpg,"https://m.media-amazon.com/images/I/315s9thUxWL._SR290,290_.jpg",Waterproof jacket for rainy days.
Wireless Keyboard,Electronics,keyboard.jpg,"https://m.media-amazon.com/images/I/61IHMaPLmKL._UF1000,1000_QL80_.jpg",Sleek keyboard with quiet keys.
Wall Art Print,Home,art.jpg,"https://m.media-amazon.com/images/I/71ynRexZGOL._UF894,1000_QL80_.jpg",Artistic print for modern interiors.
Bucket Bag,Bags,bucket_bag.jpg,https://m.media-amazon.com/images/I/81BjuUSWonL._UY1000_.jpg,Chic bag with drawstring closure.
Ballet Flats,Shoes,ballet_bag.jpg,https://m.media-amazon.com/images/I/712HnZZfRqL._UY1000_.jpg,Elegant flats for work or events.
Foam Roller,Fitness,roller.jpg,"https://m.media-amazon.com/images/I/61YFRtG4xtL._UF1000,1000_QL80_.jpg",Recovery tool for muscle massage.
